,"DZ",,".ALGERIA",,,,,,,,
,"DZ","2ON","Oran Dry Port","Oran Dry Port","31","1----6--","RL","1701",,"3541N 00038W",
,"DZ","A8L","Ain Benian","Ain Benian","42","--3-----","RL","1601",,"3648N 00255E",
,"DZ","AAE","Annaba (ex Bone)","Annaba (ex Bone)",,"1--4----","AI","9601",,,
,"DZ","ADA","Aïn Defla","Ain Defla","44","--3-----","RL","1707",,"3616N 00158E",
,"DZ","AIN","'Aïn Benian","'Ain Benian","42","-----6--","RL","1201",,"3648N 00255E",
,"DZ","ALG","Alger (Algiers)","Alger (Algiers)","16","123456--","AI","1101",,"3645N 00303E",
,"DZ","ANI","L'Arbaa Naït Irathen","L'Arbaa Nait Irathen",,"--3-----","RL","0601",,"3638N 00411E",
,"DZ","ATT","Ain Touta","Ain Touta","05","--3-----","RL","1601",,"3522N 00553E",
,"DZ","ATY","Ain Taya","Ain Taya","16","-----6--","RQ","1007",,"3647N 00317E",
,"DZ","AZA","Tipaza","Tipaza","01","--3-----","RQ","0901",,,
,"DZ","AZO","Aïn Zaouia","Ain Zaouia","15","--3-----","RL","1301",,"3632N 00353E",
,"DZ","AZR","Adrar","Adrar","01","---4----","RQ","0901",,"2752N 00017W",
,"DZ","AZW","Arzew","Arzew",,"123-----","RL","0701",,"3552N 00019W",
,"DZ","BEK","Bordj El Kiffan","Bordj El Kiffan","16","--3-----","RL","1601",,"3644N 00311E",
,"DZ","BHA","Bethioua","Bethioua","31","1-------","RL","1201",,"3548N 00016W",
,"DZ","BIM","Bir Mourad Raïs","Bir Mourad Rais","42","--3-----","RL","1307",,"3644N 00302E",
,"DZ","BIR","Birtouta","Birtouta","42","--3-----","RL","1807",,"3639N 00300E",
,"DZ","BIU","Bouinane","Bouinane","09","1-3-----","RQ","0901",,,
,"DZ","BJA","Bejaia (ex Bougie)","Bejaia (ex Bougie)",,"1--4----","AI","9601",,,
,"DZ","BLD","Blida","Blida","09","-----6--","RL","0901",,"3628N 00249E",
,"DZ","BLJ","Batna","Batna","05","---4----","RQ","0901",,"3533N 00610E",
,"DZ","BMR","Beni Mered","Beni Mered",,"-----6--","RL","1107",,"3631N 00251E",
,"DZ","BMW","Bordj Badj Mokthar","Bordj Badj Mokthar",,"---4----","RQ","0901",,,
,"DZ","BNN","Bouinan","Bouinan","09","--3-----","RL","1707",,"3631N 00259E",
,"DZ","BO7","Sour El Ghozlane","Sour El Ghozlane","10","--3-----","RL","1601",,"3609N 00341E",
,"DZ","BOM","Bordj Menaïel","Bordj Menaiel",,"-23-----","RL","0601",,"3644N 00342E",
,"DZ","BOR","Bordj Bou Arreridj","Bordj Bou Arreridj","34","-23--6--","RL","0407",,"3604N 00446E",
,"DZ","BOU","Boumerdas","Boumerdas","35","--3-----","RL","0501",,"3646N 00328E",
,"DZ","BRK","Baraki","Baraki","42","--3-----","RL","1301",,"3640N 00305E",
,"DZ","BSF","Benisaf","Benisaf",,"1-------","RL","0201",,"3517N 00123W",
,"DZ","BSK","Biskra","Biskra",,"---4----","RQ","0901",,"3451N 00544E",
,"DZ","BTA","Bethoula","Bethoula",,"1-------","AI","0201",,,
,"DZ","BUJ","Ain Eddis Apt/Bou Saada","Ain Eddis Apt/Bou Saada","28","---4----","RL","0907",,"3519N 00421E",
,"DZ","CAN","Canastel","Canastel","31","--3-----","RL","1301",,"3545N 00033W",
,"DZ","CBH","Bechar","Bechar","08","---4----","RQ","0901",,"3137N 00213W",
,"DZ","CEA","Cheghoum-el-Aid","Cheghoum-el-Aid","43","--3-----","RL","0901",,"3609N 00609E",
,"DZ","CHE","Cherchell","Cherchell",,"1-3-----","RL","0701",,"3636N 00212E",
,"DZ","CHF","Chiffa","Chiffa","09","-----6--","RL","0901",,"3627N 00244E",
,"DZ","CLE","La Calle","La Calle",,"--3-----","RL","9811",,,
,"DZ","CLF","Chlef","Chlef","02","--3--6--","RL","0901",,"3609N 00120E",
,"DZ","COL","Collo","Collo",,"1-3-----","RL","0701",,"3701N 00633E",
,"DZ","CTN","Chetouane","Chetouane","13","--3-----","RL","1301",,"3455N 00117W",
,"DZ","CZL","Constantine","Constantine",,"---4----","AI","9601",,,
,"DZ","D2H","Bir Mourad Rais","Bir Mourad Rais","16","--3-----","RL","1601",,"3644N 00302E",
,"DZ","DEB","Dar el Beïda","Dar el Beida","16","--3-----","RL","1301",,"3642N 00312E",
,"DZ","DEL","Dellys","Dellys",,"1-3-----","RL","0701",,"3655N 00353E",
,"DZ","DEM","Draa el Mizan","Draa el Mizan",,"--3-----","RL","0601",,"3632N 00349E",
,"DZ","DJE","Djen-Djen","Djen-Djen",,"1-------","AI","0201",,,
,"DZ","DJG","Djanet","Djanet","33","---4----","RQ","0901",,"2433N 00928E",
,"DZ","DJI","Jijel (ex Djidjelli)","Jijel (ex Djidjelli)",,"1-------","QQ","0701",,,
,"DZ","DRA","Draria","Draria","42","--3-----","RL","1201",,"3644N 00300E",
,"DZ","EBH","El Bayadh","El Bayadh","32","---4----","RL","0907",,"3341N 00100E",
,"DZ","ELG","El Golea","El Golea",,"---4----","RQ","0901",,,
,"DZ","ELH","El Hamiz","El Hamiz","16","-----6--","RL","1201",,"3644N 00314E",
,"DZ","ELM","El Milia","El Milia","25","--3-----","RL","1301",,"3622N 00635E",
,"DZ","ELU","El Qued","El Qued","39","---4----","RQ","0901",,"3319N 00652E",
,"DZ","EMD","El Madania","El Madania","16","--3-----","RL","1301",,"3645N 00304E",
,"DZ","EMR","El Merdja","El Merdja","34","-----6--","RL","1201",,"3600N 00422E",
,"DZ","EMU","El Mouradia","El Mouradia","16","-----6--","RL","1607",,"3645N 00303E",
,"DZ","EZZ","Bab Ezzouar","Bab Ezzouar","16","--3-----","RL","1301",,"3643N 00311E",
,"DZ","F4U","Cheraga","Cheraga","16","--3-----","RL","1601",,"3646N 00257E",
,"DZ","G2H","Birkhadem","Birkhadem","16","--3-----","RL","1601",,"3643N 00303E",
,"DZ","GBB","Gara Djebilet","Gara Djebilet","37","---4----","RL","0907",,"2609N 00721E",
,"DZ","GHA","Ghardaïa","Ghardaia",,"1-34----","RL","0401",,"3229N 00340E",
,"DZ","GHZ","Ghazaouet","Ghazaouet","13","123-----","RL","0407","QVX","3506N 00151W",
,"DZ","GJL","Jijel","Jijel","18","---4----","RQ","0901",,,
,"DZ","GLL","Guellal","Guellal","19","-----6--","RQ","1007",,"3602N 00520E",
,"DZ","HAE","Hammedi","Hammedi","35","--3-----","RL","1807",,"3640N 00316E",
,"DZ","HDR","Hydra","Hydra","16","-----6--","RQ","1007",,"3645N 00301E",
,"DZ","HME","Hassi Messaoud","Hassi Messaoud",,"--34----","RL","0601",,"3140N 00608E",
,"DZ","IAM","In Amenas","In Amenas","33","---4----","RQ","0901",,"2803N 00938E",
,"DZ","INA","I-N-Amenas","I-N-Amenas","33","--3--6--","RL","0901",,"2803N 00933E",
,"DZ","INF","I-n-Guezzam","I-n-Guezzam","11","---4----","RL","0907",,"1933N 00546E",
,"DZ","INZ","In Salah","In Salah","11","---4----","RQ","0901",,"2715N 00231E",
,"DZ","KHE","Kherrata","Kherrata",,"1-3-----","RL","0601",,"3629N 00516E",
,"DZ","KHM","Khemis Miliana","Khemis Miliana",,"-23-----","RL","0601",,"3615N 00212E",
,"DZ","KOB","Kouba","Kouba","16","--3--6--","RL","0901",,"3643N 00305E",
,"DZ","LOO","Laghouat","Laghouat","03","---4----","RQ","0901",,,
,"DZ","MEF","Meftah","Meftah","16","--3-----","RL","1801",,"3637N 00313E",
,"DZ","MHA","Mohammadia","Mohammadia","16","--3-----","RL","1301",,"3644N 00308E",
,"DZ","MIL","Mila","Mila","43","--3-----","RL","1501",,"3627N 00615E",
,"DZ","MOS","Mostaganem","Mostaganem",,"1-------","QQ","0701",,,
,"DZ","MSR","Mansoûra","Mansoura","13","--3-----","RL","1301",,"3451N 00120W",
,"DZ","MUW","Mascara","Mascara","29","---4----","RQ","0901",,,
,"DZ","MZW","Mécheria","Mecheria","45","---4----","RL","0907",,"3333N 00017W",
,"DZ","NED","Nedroma","Nedroma","13","-----6--","RL","0901",,"3500N 01440W",
,"DZ","OGX","Ouargla","Ouargla","30","---4----","RQ","0901",,"3155N 00524E",
,"DZ","OHD","Ouled Haddadj","Ouled Haddadj","35","-----6--","RQ","1007",,"3643N 00321E",
,"DZ","ONO","Rhourde Nouss","Rhourde Nouss",,"-----6--","RQ","1001",,"2830N 00645E",
,"DZ","ORN","Oran","Oran",,"1--4----","AI","9601",,,
,"DZ","ORX","El Kerma","El Kerma","31","--3-----","RL","1601",,"3536N 00034W",
,"DZ","OTL","Oued Tlélat","Oued Tlelat","31","--3-----","RL","1401",,"3533N 00027W",
,"DZ","OYA","Ouled Yaïch","Ouled Yaich","09","--3-----","RL","1301",,"3550N 00100E",
,"DZ","QAS","Ech Cheliff","Ech Cheliff",,"--3-----","RL","0907",,"3613N 00120E",
,"DZ","QBP","Ain Beida","Ain Beida","04","--3-----","RL","0907",,"3156N 00635E",
,"DZ","QBT","Bettioua","Bettioua","31","--3-----","RL","0907",,"3548N 00015W",
,"DZ","QBZ","Bouira","Bouira",,"--3-----","RL","0907",,"3623N 00354E",
,"DZ","QDJ","Djelfa","Djelfa","17","--3-----","RL","0907",,"3440N 00315E",
,"DZ","QDT","Sedrata","Sedrata","41","--3-----","RL","0907",,"3608N 00731E",
,"DZ","QDZ","Saïda","Saida","20","--3-----","RL","0907",,"3450N 00090E",
,"DZ","QED","Medea","Medea","26","--3-----","RL","0907",,"3616N 00245E",
,"DZ","QEH","'Ain El Hadjar","'Ain El Hadjar",,"--3-----","RL","0907",,"3446N 00090E",
,"DZ","QFD","Boufarik","Boufarik","09","--3-----","RL","0907",,"3633N 00252E",
,"DZ","QGE","Guelma","Guelma","24","--3-----","RL","0907",,"3628N 00726E",
,"DZ","QIL","Sig","Sig","31","--3-----","RL","0907",,"3532N 00011W",
,"DZ","QIM","Ain M'Lila","Ain M'Lila","04","--3-----","RL","0907",,"3602N 00634E",
,"DZ","QKJ","Kenchela","Kenchela","40","--3-----","RL","0907",,"3527N 00708E",
,"DZ","QLK","El Kala","El Kala","36","--3-----","RL","0907",,"3645N 00826E",
,"DZ","QMG","Maghnia","Maghnia","13","--3-----","RL","0907",,"3451N 00143W",
,"DZ","QMH","Oum El Bouaghi","Oum El Bouaghi","04","--3-----","RL","0907",,"3553N 00707E",
,"DZ","QMW","Mohammadia","Mohammadia","29","--3-----","RL","0907",,"3535N 00041E",
,"DZ","QOZ","Qued Zenati","Qued Zenati","25","--3-----","RL","0907",,"3620N 00710E",
,"DZ","QQU","Qued Rhiou","Qued Rhiou","48","--3-----","RL","0907",,"3558N 00055E",
,"DZ","QSK","Souk Ahras","Souk Ahras","41","--3-----","RL","0907",,"3617N 00757E",
,"DZ","QZN","Relizane","Relizane","48","--3-----","RL","0907",,"3545N 00037E",
,"DZ","REG","Reghaia","Reghaia","35","--3-----","RL","1601",,"3644N 00320E",
,"DZ","RMC","Remchi","Remchi","13","--3-----","RL","1301",,"3503N 00125W",
,"DZ","RME","Hassi R'Mel","Hassi R'Mel","03","--3-----","RL","1707",,"3255N 00316E",
,"DZ","ROU","Rouiba","Rouiba","16","1----6--","RL","0901",,"3644N 00317E",
,"DZ","SAO","Saoula","Saoula","42","--3-----","RL","1401",,"3642N 00301E",
,"DZ","SBA","Sidi Bel Abbes","Sidi Bel Abbes",,"--3--6--","RL","0901",,"3511N 00038W",
,"DZ","SBY","Salah Bey","Salah Bey","16","--3-----","RL","1601",,"3551N 00517E",
,"DZ","SDY","Sidi Yahia","Sidi Yahia","13","-----6--","RL","1201",,"3444N 00135W",
,"DZ","SEN","Es Senia","Es Senia","31","-----6--","RL","1201",,"3539N 00038W",
,"DZ","SET","Sétif","Setif",,"-23-----","RL","0601",,"3611N 00524E",
,"DZ","SKI","Skikda (ex Philippeville)","Skikda (ex Philippeville)",,"1--4----","AI","9601",,,
,"DZ","SKK","Skikda","Skikda","21","--34----","RL","2001",,"3652N 00654E",
,"DZ","TAH","Taher","Taher",,"--3-----","RL","0601",,"3646N 00553E",
,"DZ","TBS","Tebessa","Tebessa","12","1----6--","RQ","1001",,"3524N 00807E",
,"DZ","TCT","Ain Temouchent","Ain Temouchent",,"--3-----","RL","0901",,"3517N 00108W",
,"DZ","TEE","Tbessa","Tbessa",,"---4----","RQ","0901",,,
,"DZ","TEN","Ténès","Tenes",,"1-------","RL","0212",,"3631N 00119E",
,"DZ","TGR","Touggourt","Touggourt","30","---4----","RQ","0901",,,
,"DZ","TID","Tiaret","Tiaret",,"---4----","RQ","0901",,"3528N 00121E",
,"DZ","TIN","Tindouf","Tindouf","37","---4----","RQ","0901",,"2743N 00810W",
,"DZ","TIZ","Tizi Ouzou","Tizi Ouzou","01","--3-----","RL","0901",,"3643N 00403E",
,"DZ","TLM","Tlemcen","Tlemcen","13","1234-6--","RL","0407",,"3452N 00118W",
,"DZ","TMR","Tamanrasset","Tamanrasset",,"---4----","RQ","0901",,"2248N 00527E",
,"DZ","TMX","Timimoun","Timimoun","01","---4----","RQ","0901",,"2914N 00016E",
,"DZ","VVZ","Illizi","Illizi","33","---4----","RL","0907",,"2628N 00828E",
,"DZ","ZAB","Bou Kadir","Bou Kadir","02","--3-----","RL","0907",,"3604N 00107E",
,"DZ","ZAE","El Eulma","El Eulma","19","--3-----","RL","0907",,"3609N 00541E",
,"DZ","ZBI","Berriane","Berriane",,"---4----","RL","0907",,"3250N 00346E",
,"DZ","ZZA","Azazga","Azazga","15","--3-----","RL","0907",,"3645N 00422E",
,"DZ","ZZB","Barika","Barika","05","--3-----","RL","0907",,"3523N 00523E",
,"DZ","ZZS","M'sila","M'sila","28","--3-----","RL","0907",,"3542N 00433E",
