,"IL",,".ISRAEL",,,,,,,,
,"IL","2LL","Eliad","Eliad",,"--3-----","RL","1601",,"3248N 03544E",
,"IL","8UH","Gush Halav","Gush Halav","Z","1-3-----","RL","1401",,"3310N 03526E",
,"IL","ABB","Alonei Abba","Alonei Abba","Z","--3-----","RL","1601",,"3243N 03510E",
,"IL","ABU","Abu Ghosh","Abu Ghosh","JM","--3-----","RL","1601",,"3148N 03506E",
,"IL","ACR","Acre","Acre",,"1-------","QQ","8103",,,
,"IL","ADI","Adanim","Adanim","M","--3-----","RL","1407",,"3208N 03454E",
,"IL","ADM","Adam","Adam",,"--3----B","AF","9803",,,
,"IL","AFU","Afula","Afula",,"--3-----","RL","0201",,"3236N 03517E",
,"IL","AHG","Alon Hagalil","Alon Hagalil","Z","--3-----","RL","1601",,"3245N 03513E",
,"IL","AIM","Alonim","Alonim","Z","--3-----","RL","1601",,"3243N 03508E",
,"IL","AKK","Akko","Akko","Z","1-3-----","RL","0701",,"3255N 03504E",
,"IL","AKL","Ashkelon","Ashkelon",,"1-------","RQ","9506",,,
,"IL","ALN","Alenbi","Alenbi",,"--3----B","AF","9803",,,
,"IL","ALU","Alumot","Alumot","Z","--3-----","RQ","1601",,"3242N 03532E",
,"IL","ALV","Ayalon Valley","Ayalon Valley","JM","-23-----","RL","1701",,"3150N 03501E",
,"IL","AMD","Ami'Ad","Ami'Ad","Z","--3-----","RL","1601",,"3255N 03532E",
,"IL","AMI","Amir","Amir",,"--3-----","RL","0901",,"3311N 03538E",
,"IL","AMM","Amminadav","Amminadav","JM","--3-----","RL","1601",,"3145N 03508E",
,"IL","AMR","Amirim","Amirim","Z","--3-----","RL","1601",,"3256N 03527E",
,"IL","ARB","Arbel","Arbel","Z","--3-----","RL","1601",,"3248N 03529E",
,"IL","ARV","Arava","Arava",,"--3----B","AF","9803",,,
,"IL","AS2","Mishor Adumim","Mishor Adumim","M","1----6--","RL","1407",,"3147N 03519E",
,"IL","ASA","Ashalim","Ashalim","D","--3-----","RL","1707",,"3057N 03442E",
