,"MM",,".MYANMAR",,,,,,,,
,"MM","AKY","Akyab (Sittwe)","Akyab (Sittwe)",,"1--4----","AI","9401",,,
,"MM","BIL","Bilin","Bilin",,"1-------","QQ","8103",,,
,"MM","BMO","Bhamo","Bhamo",,"---4----","AI","9601",,,
,"MM","BOG","Bogale","Bogale",,"1-------","QQ","8103",,,
,"MM","BPE","Bagan","Bagan",,"---4----","AI","0001",,,
,"MM","BSX","Bassein","Bassein",,"1--4----","AI","9601",,,
,"MM","GAW","Gangaw","Gangaw",,"---4----","AI","9601",,,
,"MM","GWA","Gwa","Gwa",,"---4----","AI","9601",,,
,"MM","HEB","Henzada","Henzada",,"1--4----","AI","9601",,,
,"MM","HEN","Heho","Heho",,"---4----","QQ","8103",,,
,"MM","HOX","Homalin","Homalin",,"---4----","AI","0001",,,
,"MM","HTL","Htan Tlang","Htan Tlang","14","--3-----","RL","1907",,"2240N 09324E",
,"MM","INS","Insein","Insein",,"1-------","QQ","8103",,,
,"MM","KAW","Kawthaung","Kawthaung",,"---4----","AI","0001",,,
,"MM","KET","Keng Tung","Keng Tung",,"---4----","AI","9601",,,
,"MM","KHM","Khamti","Khamti",,"---4----","AI","0001",,,
,"MM","KKR","Kawkareik","Kawkareik","13","--3-----","RL","1501",,"1633N 09814E",
,"MM","KMV","Kalemyo","Kalemyo",,"---4----","AI","9601",,,
,"MM","KYA","Kyaiklat","Kyaiklat","07","1-3-----","RL","0401",,"1634N 09547E",
,"MM","KYP","Kyaukpyu","Kyaukpyu",,"1--4----","AI","9601",,,
,"MM","KYT","Kyauktaw","Kyauktaw",,"---4----","AI","9601",,,
,"MM","LIW","Loikaw","Loikaw",,"---4----","AI","9601",,,
,"MM","LPT","Latputta","Latputta","07","--3-----","RL","1601",,"1609N 09446E",
,"MM","LSH","Lashio","Lashio",,"---4----","AI","9601",,,
,"MM","LWJ","Lweje","Lweje","11","--3-----","RL","1907",,"2412N 09743E",
,"MM","MAR","Martaban","Martaban",,"1-------","QQ","8103",,,
,"MM","MDL","Mandalay","Mandalay",,"---4----","AI","9601",,,
,"MM","MER","Mergui","Mergui",,"1-------","QQ","8103",,,
,"MM","MES","Mese","Mese","12","--3--6--","RL","1907",,"1838N 09740E",
,"MM","MGK","Mong Ton","Mong Ton",,"---4----","AI","0001",,,
,"MM","MGU","Manaung","Manaung",,"---4----","AI","0001",,,
,"MM","MGZ","Myeik","Myeik",,"---4----","AI","0001",,,
,"MM","MNE","Myit Nge","Myit Nge","04","-23--6--","RL","1907",,"2152N 09605E",
,"MM","MNU","Mawlamyine (Moulmein)","Mawlamyine (Moulmein)",,"1--4----","QQ","8103",,,
,"MM","MOE","Momeik","Momeik",,"---4----","AI","9601",,,
,"MM","MOG","Mong Hsat","Mong Hsat",,"---4----","AI","9601",,,
,"MM","MSE","Mu Se","Mu Se","17","--3----B","RL","1601",,"2359N 09754E",
