,"MU",,".MAURITIUS",,,,,,,,
,"MU","ABN","Albion","Albion","BL","1-------","RL","1801",,"2012S 05724E",
,"MU","ANL","Arsenal","Arsenal","PA","--3-----","RL","1807",,"2006S 05732E",
,"MU","BAM","Bambous","Bambous","AG","1-------","RQ","0901",,,
,"MU","BEB","Beau Bassin","Beau Bassin","PW","--3-----","RL","1301",,"2013S 05727E",
,"MU","BEL","Bel Air","Bel Air","FL","--3-----","RL","1307",,"2015S 05744E",
,"MU","BLM","Belle Mare","Belle Mare","FL","--3-----","RL","1601",,"2011S 05746E",
,"MU","BLR","Riviï¿½re Noire","Riviere Noire","BL","--3-----","RL","1601",,"2021S 05721E",
,"MU","BOR","Bel Ombre","Bel Ombre","SA","--3-----","RL","1407",,"2030S 05724E",
,"MU","BPL","Beau Plan","Beau Plan","PA","--3-----","RL","1301",,"2005S 05734E",
,"MU","BRE","Belle Rose","Belle Rose","QB","--3-----","RL","1807",,"2015S 05743E",
,"MU","BTB","Baie-du-Tombeau","Baie-du-Tombeau","PA","--3-----","RL","1601",,"2006S 05730E",
,"MU","BVN","Beau Vallon","Beau Vallon","GP","--3-----","RL","1807",,"2021S 05741E",
,"MU","CDE","Cloverdale","Cloverdale",,"--3-----","RQ","0004",,,
,"MU","CDF","Centre de Flacq","Centre de Flacq","FL","--3-----","RL","1301",,"2012S 05743E",
,"MU","CGR","Chemin Grenier","Chemin Grenier","SA","--3-----","RL","1807",,"2029S 05727E",
,"MU","CHL","Chamarel","Chamarel","SA","--3-----","RL","1601",,"2025S 05723E",
,"MU","CMD","Coromandel","Coromandel","BR","--3-----","RL","1807",,"2010S 05727E",
,"MU","CPX","Cap Malheureux","Cap Malheureux","RR","--3-----","RL","1601",,"1959S 05736E",
,"MU","CSS","Cassis","Cassis","PL","--3-----","RL","1807",,"2009S 05728E",
,"MU","CUR","Curepipe","Curepipe",,"1-3-----","RL","9805",,,
,"MU","EBN","Ebene","Ebene",,"-----6--","RQ","1007",,"2014S 05747E",
,"MU","FDS","Fond du Sac","Fond du Sac","PA","-----6--","RL","1801",,"2002S 05734E",
,"MU","FLF","Flic en Flac","Flic en Flac","BL","--3-----","RL","1301",,"2016S 05721E",
,"MU","FSD","Forest Side","Forest Side","PW","--3-----","RL","1807",,"2019S 05731E",
,"MU","GBA","Grand Baie","Grand Baie","PA","--3-----","RL","1601",,"2000S 05734E",
,"MU","GBS","Gros Bois","Gros Bois","GP","--3-----","RL","1601",,"2026S 05736E",
,"MU","GOO","Goodlands","Goodlands","RR","--3-----","RL","1701",,"2002S 05738E",
,"MU","GPO","Nouvelle France","Nouvelle France","GP","--3-----","RL","1601",,"2022S 05733E",
,"MU","GRN","Grand River North West","Grand River North West","PL","--3-----","RL","1807",,"2010S 05728E",
,"MU","GRS","Grande Riviï¿½re Sud Est","Grande Riviere Sud Est","FL","--3-----","RL","1807",,"2017S 05746E",
,"MU","LME","La Mivoie","La Mivoie","RR","--3-----","RL","1701",,"2020S 05721E",
,"MU","MAH","Mahï¿½bourg","Mahebourg",,"--3-----","RL","0212",,"2024S 05741E",
,"MU","MAP","Mapou","Mapou","RR","--3-----","RL","1601",,"2001S 05734E",
,"MU","MOK","Moka","Moka","MO","--3-----","RQ","1207",,"2013S 05729E",
,"MU","MRB","Roches Brunes","Roches Brunes","PW","--3-----","RL","1601",,"2013S 05727E",
,"MU","MRU","Sir Seewoosagur Ramgoolam Int Apt","Sir Seewoosagur Ramgoolam Int Apt",,"---45---","AI","0401",,"2026S 05741E",
,"MU","MSA","Morcellemont Saint Andrï¿½","Morcellemont Saint Andre","PU","--3-----","RL","1301",,"2004S 05733E",
,"MU","PAC","Pointe aux Canonniers","Pointe aux Canonniers","PA","--3-----","RL","1601",,"2000S 05733E",
,"MU","PAI","Pailles","Pailles","PW","--3-----","RL","1301",,"2011S 05728E",
,"MU","PAM","Pamplemousses","Pamplemousses","PA","--3-----","RL","1301",,"2006S 05734E",
,"MU","PDF","Poste de Flacq","Poste de Flacq","FL","--3-----","RL","1601",,"2009S 05743E",
,"MU","PEY","Pointe dï¿½Esny","Pointe dï¿½Esny","GP","--3-----","RL","1707",,"2025S 05743E",
,"MU","PLU","Port Louis","Port Louis",,"1--4----","QQ","8111",,,
,"MU","PMA","Port Mathurin","Port Mathurin",,"1-3-----","RL","0607",,"1941S 06325E",
,"MU","PMG","Plaine Magnien","Plaine Magnien","GP","--3-----","RL","0507",,"2025S 05739E",
,"MU","PMR","Palmar","Palmar","FL","--3-----","RL","1807",,"2013S 05746E",
,"MU","PNX","Phoenix","Phoenix","PW","-----6--","RL","1107",,"2017S 05730E",
,"MU","PRI","Petite Riviï¿½re","Petite Riviere","BL","--3-----","RL","1407",,"2011S 05726E",
,"MU","PSB","Pointe aux Sables","Pointe aux Sables","PU","--3-----","RL","1101",,"2009S 05727E",
,"MU","PTN","Piton","Piton","RR","--3-----","RL","1807",,"2005S 05737E",
,"MU","PYY","Pereybï¿½rï¿½","Pereybere","RR","--3-----","RL","1407",,"1959S 05735E",
,"MU","QBE","Quatre Bornes","Quatre Bornes","PW","--3-----","RL","1101",,"2015S 05728E",
,"MU","QML","Quartier Militaire","Quartier Militaire","MO","--3-----","RL","1807",,"2014S 05735E",
,"MU","RCT","Richeterre","Richeterre","FL","--3-----","RL","1307",,"2007S 05730E",
,"MU","RDR","Riviï¿½re du Rempart","Riviere du Rempart","FL","--3-----","RL","1307",,"2006S 05741E",
,"MU","RNE","Roches Noire","Roches Noire","RR","--3-----","RL","1601",,"2006S 05742E",
,"MU","RRG","Rodrigues","Rodrigues",,"---4----","AI","0212",,"1942S 06325E",
,"MU","RSH","Rose Hill","Rose Hill","BR","--3-----","RL","1807",,"2014S 05728E",
,"MU","SAU","Saint Aubin","Saint Aubin","SA","--3-----","RL","1307",,"2029S 05733E",
,"MU","SLC","Souillac","Souillac","SA","--3-----","RL","1807",,"2031S 05731E",
,"MU","SRM","Surinam","Surinam","SA","--3-----","RL","1807",,"2030S 05730E",
