,"NA",,".NAMIBIA",,,,,,,,
,"NA","ADI","Arandis","Arandis",,"---4----","AI","0001",,,
,"NA","AIW","Ai-Ais","Ai-Ais",,"---4----","AI","0001",,,
,"NA","BQI","Bagani","Bagani",,"---4----","AI","0001",,,
,"NA","ERS","Windhoek Eros Airport","Windhoek Eros Airport","KH","---4----","RL","1607",,"2236S 01704E",
,"NA","GFY","Grootfontein","Grootfontein",,"---4----","AI","9601",,,
,"NA","GOG","Gobabis","Gobabis",,"---4----","AI","0001",,,
,"NA","HAL","Halali","Halali",,"---4----","AI","0001",,,
,"NA","HTN","Henties Bay (Hentiesbaai)","Henties Bay (Hentiesbaai)","ER","--3-----","RL","1501",,"2207S 01417E",
,"NA","KAS","Karasburg","Karasburg",,"---45---","AI","9805",,,
,"NA","KAT","Katima Mulilo","Katima Mulilo","CA","--3-----","RL","1707",,"1730S 02416E",
,"NA","KMP","Keetmanshoop","Keetmanshoop",,"---4----","AI","9601",,,
,"NA","KRB","Karibib","Karibib",,"--3-----","RL","0201",,"2156S 01551E",
,"NA","LUD","Lüderitz","Luderitz",,"1--4----","AI","0212",,"2639S 01510E",
,"NA","MAR","Mariental","Mariental",,"----5---","AI","9805",,,
,"NA","MJO","Mount Etjo Lodge","Mount Etjo Lodge",,"---4----","AI","0001",,,
,"NA","MPA","Mpacha","Mpacha",,"---4----","AI","0001",,,
,"NA","MQG","Midgard","Midgard",,"---4----","AI","0001",,,
,"NA","MTH","Maltahohe","Maltahohe","HA","-----6--","RQ","1001",,"2450S 01659E",
,"NA","NDU","Rundu","Rundu",,"---4----","AI","0001",,,
,"NA","NNI","Namutoni","Namutoni",,"---4----","AI","0001",,,
,"NA","OGV","Ongava Game Reserve","Ongava Game Reserve",,"---4----","AI","0001",,,
,"NA","OHI","Oshakati","Oshakati",,"---45---","AI","9805",,,
,"NA","OKF","Okaukuejo","Okaukuejo",,"---4----","AI","0001",,,
,"NA","OKU","Mokuti Lodge","Mokuti Lodge",,"---4----","AI","0001",,,
,"NA","OMA","Omaruru","Omaruru","ER","--3-----","RL","0901",,"2126S 01556E",
,"NA","OMD","Oranjemund","Oranjemund",,"---4----","RQ","9012",,,
,"NA","OMG","Omega","Omega",,"---4----","AI","0001",,,
,"NA","OND","Ondangwa","Ondangwa",,"---4----","AI","0001",,,
,"NA","ONG","Ongwediva","Ongwediva","ON","--3-----","RL","1901",,"1746S 01545E",
,"NA","OOZ","Okahandja","Okahandja","OD","-----6--","RL","1401",,"2159S 01655E",
,"NA","OPW","Opuwa","Opuwa",,"---4----","AI","0001",,,
,"NA","OSH","Oshikango","Oshikango","OW","-----6--","RL","1407",,"1724S 01553E",
,"NA","OTJ","Otjiwarongo","Otjiwarongo",,"---45---","AI","9805",,,
,"NA","OTP","Otavi","Otavi","OD","--3-----","RL","1601",,"1939S 01720E",
,"NA","OUT","Outjo","Outjo","KU","--3-----","RL","1901",,"2007S 01609E",
,"NA","OVO","Oshivelo","Oshivelo","OT","--3-----","RL","1707",,"1837S 01710E",
,"NA","RUA","Ruacana","Ruacana","KU","1----6--","RQ","1001",,"1726S 01421E",
,"NA","SWP","Swakopmund","Swakopmund",,"---45---","AI","9805",,,
,"NA","SZM","Sesriem","Sesriem",,"---4----","AI","0001",,,
,"NA","TCY","Terrace Bay","Terrace Bay",,"---4----","AI","0001",,,
,"NA","TSB","Tsumeb","Tsumeb",,"---4----","AI","9601",,,
,"NA","UIS","Uis","Uis","ER","--3-----","RL","1801",,"2113S 01451E",
,"NA","VFG","Ariamsvlei","Ariamsvlei","KA","--3-----","RL","1601",,"2807S 01949E",
,"NA","WDH","Windhoek","Windhoek",,"---45---","AI","9601",,,
,"NA","WOR","Noordoewer","Noordoewer","KA","--3-5---","AI","0307",,"2845S 01737E",
,"NA","WVB","Walvis Bay","Walvis Bay",,"1-------","QQ","8103",,,
,"NA","ZAR","Aussenkehr","Aussenkehr",,"-----6--","RL","0901",,"2821S 01723E",
