,"RE",,".RÉUNION",,,,,,,,
,"RE","ANN","Sainte-Anne","Sainte-Anne",,"--3-----","RL","1901",,"2105S 05545E",
,"RE","BRP","Bras Panon","Bras Panon",,"--3-----","RL","1901",,"2100S 05541E",
,"RE","CAF","la Plaine des Cafres","la Plaine des Cafres",,"--3-----","RL","1901",,"2110S 05535E",
,"RE","CLO","Sainte Clotilde","Sainte Clotilde",,"--3-----","RL","1901",,"2054S 05529E",
,"RE","GUL","Saint-Gilles-Les Hauts","Saint-Gilles-Les Hauts",,"--3-----","RL","1601",,"2102S 05515E",
,"RE","LAV","Les Avirons","Les Avirons",,"--3-----","RL","1601",,"2114S 05520E",
,"RE","LES","L'Étang-Salé","L'Etang-Sale",,"--3-----","RL","1901",,"2116S 05522E",
,"RE","LEU","Saint-Leu","Saint-Leu",,"1-------","RL","1901",,,
,"RE","LPT","Le Port","Le Port",,"1-3-5---","AF","2101",,"2056S 05519E","GV: approved"
,"RE","LTM","Le Tampon","Le Tampon",,"--3-----","RQ","1901",,"2116S 05531E",
,"RE","PAL","Plaine des Palmistes","Plaine des Palmistes",,"--3-----","RL","1901",,"2108S 05538E",
,"RE","PD2","Pointe des Galets","Pointe des Galets",,"--3-----","RL","1807",,"2055S 05517E",
,"RE","POS","Possession","Possession",,"1-------","RL","1901",,"2056S 05520E",
"+","RE","RSE","Sainte-Rose","Sainte-Rose",,"1-3-----","AA","2201",,"1620S 06142E",
"¦","RE","RUN","Saint-Denis de la Réunion","Saint-Denis de la Reunion",,"1-34----","AI","2201",,"2054S 05531E","@Fun"
,"RE","SDR","Saint-André","Saint-Andre",,"--3-5---","RL","1901",,"2056S 05539E",
,"RE","SGL","Saint-Gilles","Saint-Gilles",,"--3-----","RL","1901",,"2102S 05514E","a.k.a Saint Gilles"
,"RE","SJH","Saint-Joseph","Saint-Joseph",,"--3-----","RL","1901",,"2122S 05537E",
,"RE","SLH","La Saline les Hauts","La Saline les Hauts",,"--3-----","RL","1901",,"2105S 05516E",
,"RE","SLO","Saint-Louis","Saint-Louis",,"--3-----","RL","1901",,,
,"RE","SMA","Sainte-Marie","Sainte-Marie",,"--3-----","RL","1901",,"2053S 05533E",
,"RE","SPH","Saint-Philippe","Saint-Philippe",,"--3-----","RL","1901",,"2122S 05546E",
"¦","RE","SPL","Saint-Paul","Saint-Paul",,"123-5---","RL","2201",,"2059S 05516E","@Fun"
,"RE","SSZ","Sainte-Suzanne","Sainte-Suzanne",,"1-------","RL","1901",,"2054S 05536E",
,"RE","SVB","Saint-Benoît","Saint-Benoit",,"-----6--","RL","1407",,"2102S 05543E",
,"RE","X3R","les Trois Bassins","les Trois Bassins",,"--3-----","RL","1901",,"2106S 05518E",
,"RE","ZSE","Saint-Pierre","Saint-Pierre",,"---4----","AI","1901",,"2120S 05528E",
