,"SA",,".SAUDI ARABIA",,,,,,,,
,"SA","ABQ","Abqaiq","Abqaiq",,"--3-----","RL","1201",,"2556N 04940E",
,"SA","ABT","Al Baha","Al Baha",,"---4----","AI","0001",,,
,"SA","AHA","Al Hada","Al Hada",,"1-------","QQ","8103",,,
,"SA","AHB","Abha","Abha",,"---4----","AI","0001",,,
,"SA","AJF","Jouf","Jouf",,"---4----","AI","9401",,,
,"SA","AKH","Al Kharj","Al Kharj","01","--34----","AI","1101",,"2408N 04718E",
,"SA","ALH","Al Hasa","Al Hasa","04","--3-----","RL","1701",,"2525N 04937E",
,"SA","ALK","Al Khobar","Al Khobar",,"1-------","RQ","9506",,,
,"SA","AMU","Al Muajjiz","Al Muajjiz",,"1-------","RQ","0907",,"2328N 03823E",
,"SA","AQI","Qaisumah","Qaisumah",,"---4----","AI","0001",,,
,"SA","AQK","Al Khobar","Al Khobar","04","1-------","RL","1601",,"2617N 05012E",
,"SA","ARR","Ar Rass","Ar Rass",,"--3-----","RL","9901",,,
,"SA","ASF","Asfan","Asfan","02","--3-----","AA","2201",,"2155N 03922E",
,"SA","ASQ","Al Shuqaiq","Al Shuqaiq","04","--3-----","RL","1601",,"2529N 04936E",
,"SA","AUT","Al 'Uthmaniyah","Al 'Uthmaniyah","04","--3-----","RL","1301",,"2511N 04918E",
,"SA","AWI","Waisumah","Waisumah",,"---4----","QQ","8103",,,
,"SA","BAH","Al Bahah","Al Bahah","11","--3-----","RL","1601",,"2001N 04128E",
,"SA","BDN","Badanah","Badanah",,"--3-----","RL","0201",,"3058N 04101E",
,"SA","BHH","Bisha","Bisha",,"---4----","AI","9401",,,
,"SA","BRU","Buraydah","Buraydah","05","--3-----","RL","1601",,"2619N 04358E",
,"SA","BUR","Buraydah","Buraydah",,"1----6--","RL","1001",,"2619N 04358E",
,"SA","DAW","Ad Dawadami","Ad Dawadami",,"--3-----","RQ","0901",,"2430N 04423E",
,"SA","DHA","Dhahran","Dhahran",,"1--4----","AI","9401",,,
"X","SA","DHU","Port of NEOM","Port of NEOM",,"1-------","XX","2307",,"2734N 03433E","Use SA NEO"
,"SA","DMM","Ad Dammam","Ad Dammam","04","12345---","RL","2107",,"2630N 05012E",
,"SA","EAM","Nejran","Nejran",,"---4----","AI","9401",,,
,"SA","EJH","Wedjh","Wedjh",,"1--4----","AI","9601",,,
,"SA","ELQ","Gassim","Gassim",,"---4----","AI","9401",,,
,"SA","FJJ","Fiji","Fiji","02","-----6--","RQ","1001",,"2416N 03834E",
,"SA","GIZ","Jizan","Jizan",,"1--4----","AI","2107",,"1654N 04230E",
,"SA","HAD","Al Hadithah","Al Hadithah","12","--3-----","RL","1707",,"3127N 03709E",
,"SA","HAS","Hail","Hail",,"---4----","AI","9401",,,
,"SA","HBT","Hafar al Batin","Hafar al Batin",,"--34----","AI","9901",,,
,"SA","HOF","Hofuf","Hofuf",,"---4----","QQ","8103",,,
,"SA","HZM","Hazm Al Jalamid","Hazm Al Jalamid",,"--3-----","RL","0901",,"3116N 04006E",
,"SA","JBI","Al Jubayl Industrial City","Al Jubayl Industrial City",,"1-3-----","RL","2107",,"2705N 04942E",
,"SA","JEC","Jazan Economic City","Jazan Economic City","09","1-3-----","AM","2007",,"1717N 04220E",
,"SA","JED","Jeddah","Jeddah","02","1--45---","AI","2107",,"2128N 03910E",
,"SA","JIC","Jeddah Industrial City 2 & 3","Jeddah Industrial City 2 & 3","02","--3-----","AM","2101",,"2107N 03917E",
,"SA","JUB","Jubail","Jubail",,"1-------","QQ","2107",,"2701N 04940E",
,"SA","JUT","Juaymah Terminal","Juaymah Terminal",,"1-------","RQ","2107",,"2655N 05001E",
,"SA","JYC","Jeddah Yachts Club Port","Jeddah Yachts Club Port","02","1-------","AA","2207",,"2139N 03906E",
,"SA","KAC","King Abdullah City","King Abdullah City","02","1-3-----","RQ","1301",,"2224N 03905E",
,"SA","KFH","King Fhad","King Fhad",,"0-------","RQ","9307",,,
,"SA","KHU","Al Khuraibah","Al Khuraibah","07","1-------","RQ","0901",,"2803N 03510E",
,"SA","KKH","King Khalid","King Khalid",,"0-------","RQ","9307",,,
,"SA","KMX","Khamis Mushayt","Khamis Mushayt",,"--34----","AI","9601",,,
,"SA","LIT","Lith","Lith",,"1-------","QQ","8103",,,
,"SA","LJW","Al Jawf","Al Jawf","14","--3-----","RL","1101",,"1813N 04311E",
,"SA","MAK","Makkah","Makkah",,"1-------","QQ","8103",,,
,"SA","MAN","Manailih","Manailih",,"1-------","QQ","8103",,,
,"SA","MED","Madinah","Madinah",,"---4----","AI","0001",,,
,"SA","MHY","Muhayil","Muhayil","14","-----6--","RL","1201",,"1832N 04202E",
,"SA","MJH","Majma","Majma",,"---4----","AI","0001",,,
,"SA","MUF","Manfouha","Manfouha",,"1-------","QQ","8103",,,
"=","SA",,"Medina = Madinah","Medina = Madinah",,,,,,,
"+","SA","NEO","Neom","Neom","14","1234-67-",,"2307",,"2734N 03533E","Old DHU"
,"SA","NJN","Najran","Najran","10","--3-----","RL","1101",,"1730N 04411E",
,"SA","QAH","Al Qahmah","Al Qahmah","09","1-------","RQ","0901",,"1801N 04140E",
,"SA","QAL","Qalsn","Qalsn",,"1-------","QQ","8103",,,
,"SA","QRN","Al Qurainah","Al Qurainah","01","--3-----","AM","2107",,"2506N 04612E",
,"SA","QTF","Qatif","Qatif",,"---4----","AI","0001",,,
,"SA","QUN","Al Qunfudah","Al Qunfudah","09","1-------","RQ","0901",,"1907N 04104E",
,"SA","QUR","Qurayyah","Qurayyah",,"1-------","QQ","8103",,,
,"SA","RAB","Rabigh","Rabigh",,"1-------","QQ","8103",,,
,"SA","RAD","Harad","Harad",,"-23-----","RL","1401",,"2408N 04903E",
,"SA","RAE","Arar","Arar",,"---4----","AI","0001",,,
,"SA","RAH","Rafha","Rafha",,"---4----","AI","9401",,,
,"SA","RAM","Ras al Mishab","Ras al Mishab",,"1-------","QQ","8103",,,
,"SA","RAR","Ras al Khafji","Ras al Khafji",,"1-------","QQ","8103",,,
,"SA","RAZ","Ras Al-Khair","Ras Al-Khair","04","1-3-----","RL","2107",,"2733N 04912E","Ras Al Zour"
,"SA","RTA","Ras Tanura","Ras Tanura",,"1-------","QQ","2107",,"2638N 05009E",
,"SA","RUH","Riyadh","Riyadh","01","---45---","AI","1607",,"2438N 04646E",
,"SA","RYP","Riyadh Dry Port","Riyadh Dry Port",,"-23-----","RL","0601",,"2438N 04644E",
,"SA","SAF","Safaniya","Safaniya",,"--3-----","RL","1107",,,
,"SA","SAL","Salwá","Salwa","04","--3-----","RL","1707",,"2444N 05045",
,"SA","SAY","Sayhat","Sayhat",,"--3-----","RL","0401",,"2628N 05002E",
,"SA","SHD","Shadqam","Shadqam","04","--3---7-","RL","1301",,"2543N 04925E",
,"SA","SHU","Shuaibah","Shuaibah",,"1-------","RQ","2207",,"2041N 03931E",
,"SA","SHW","Sharurah","Sharurah",,"---4----","AI","9601",,,
,"SA","SLF","Sulayel","Sulayel",,"---4----","RQ","0901",,"2028N 04537E",
,"SA","SUH","Salboukh","Salboukh",,"1-------","QQ","8103",,,
,"SA","TFZ","Tusdeer Free Zone","Tusdeer Free Zone",,"-----6--","RQ","1707",,"2129N 03909E",
,"SA","TIF","Taif","Taif",,"---4----","AI","9601",,,
,"SA","TUI","Turaif","Turaif",,"---4----","AI","9401",,,
,"SA","TUU","Tabuk","Tabuk",,"---4----","AI","9401",,,
,"SA","UDH","Udhailiyah","Udhailiyah",,"--3-----","RL","1201",,"2508N 04918E",
,"SA","URY","Gurayat","Gurayat",,"---4----","AI","9401",,,
,"SA","UZH","Unayzah","Unayzah",,"--34----","AI","9901",,,
,"SA","VLA","Umm Lajj","Umm Lajj",,"1-3-----","RL","0401",,"2501N 03716E",
,"SA","WAE","Wadi ad Dawasir","Wadi ad Dawasir",,"--34----","AI","9901",,,
,"SA","YBI","Yanbu Industrial City","Yanbu Industrial City","03","1-3-----","RL","2107",,"2356N 03815E",
,"SA","YNB","Yanbu commercial city","Yanbu commercial city","03","1-34----","AI","2107",,"2404N 03803E",
,"SA","ZUL","Zilfi","Zilfi",,"---4----","AI","0001",,,
,"SA","ZUY","Zulayfayn","Zulayfayn",,"1-------","QQ","8103",,,
