,"TH",,".THAILAND",,,,,,,,
,"TH","ARA","Aranyaprathet","Aranyaprathet","27","--3-----","AA","1801",,"1340N 10233E",
,"TH","ATH","Ang Thong","Ang Thong","15","--3-----","RL","0307",,"1435N 10027E",
,"TH","AYU","Ayutthaya","Ayutthaya","10","--3-----","RL","0901",,"1420N 10032E",
,"TH","BAI","Bangpoomai","Bangpoomai",,"1-3-----","RL","0201",,"1330N 10036E",
,"TH","BAN","Bang Khen","Bang Khen","10","--3-----","RL","1401",,"1352N 10036E",
,"TH","BEN","Benchamas","Benchamas",,"1-------","RQ","0907",,"1031N 10119E",
,"TH","BET","Betong","Betong","95","--3-----","AA","1801",,"0546N 10104E",
,"TH","BFV","Buri Ram Apt","Buri Ram Apt","31","---4----","AA","1601",,"1514N 10315E",
,"TH","BKH","Ban Khai","Ban Khai","21","--3-----","RL","1301",,"0941N 10003E",
,"TH","BKK","Bangkok","Bangkok","10","12345---","AI","1207",,"1345N 10031E",
,"TH","BKT","Buketa Customs House","Buketa Customs House","96","--3-----","AA","1601",,"0550N 10153E",
,"TH","BMT","Bangkok Modern Terminals/Bangkok","Bangkok Modern Terminals/Bangkok",,"1-3-----","RQ","0201",,"1336N 10035E",
,"TH","BND","Ban Don","Ban Don","84","1-------","AA","2107",,"0911N 09922E",
,"TH","BNG","Bangnara","Bangnara","96","1-------","AA","2107",,"0626N 10150E",
,"TH","BNK","Ban Kantang","Ban Kantang","92","1-3-----","AA","2107",,"0725N 09930E",
,"TH","BNL","Ban Laem","Ban Laem","76","1-------","AA","2107",,"1307N 10007E",
,"TH","BNP","Bang Nam Prieo","Bang Nam Prieo","24","--3-----","RL","1301",,"1351N 10104E",
,"TH","BPG","Ban Pong","Ban Pong",,"123-----","RQ","0501",,"1348N 09952E",
,"TH","BPH","Bang Phli","Bang Phli","11","--3-----","RL","1301",,"1336N 10043E",
,"TH","BPK","Ban Prakop Customs House","Ban Prakop Customs House","90","1-3-----","AA","1601",,"0628N 10043E",
,"TH","BRK","Bang Rak","Bang Rak","10","-23-----","RL","0501",,"1344N 10032E",
,"TH","BSE","Bangsu","Bangsu","10","-23-----","RL","0607",,"1348N 10013E",
,"TH","BSP","Bang Saphan","Bang Saphan",,"123-----","RL","0601",,"1112N 09931E",
,"TH","BTC","Bangpakong Terminal","Bangpakong Terminal","24","1-------","AA","1807",,"1328N 10059E",
,"TH","BTP","Ban Talat Takua Pa","Ban Talat Takua Pa","82","1-3-----","RL","0401",,"0850N 09822E",
,"TH","BUK","Bueng Kan Customs House","Bueng Kan Customs House","38","--3-----","AA","1601",,"1822N 10337E",
,"TH","CAN","Amnat Charoen","Amnat Charoen",,"--3-----","RL","9901",,,
,"TH","CCP","Tips Container Terminal","Tips Container Terminal","10","--3-----","RL","1407",,"1306N 10053E",
,"TH","CEI","Mae Fah Luang - Chiang Rai International Apt","Mae Fah Luang - Chiang Rai International Apt","57","---4----","AA","1601",,"1957N 09953E",
,"TH","CHA","Chanthaburi","Chanthaburi","22","1-------","AA","2107",,"1218N 10214E",
,"TH","CHB","Chon Buri","Chon Buri",,"--3-----","RL","9901","QHI",,
,"TH","CHC","Chong Chom Customs House","Chong Chom Customs House","32","--3-----","AA","1601",,"1427N 10341E",
,"TH","CHD","Chiang Dao Customs House","Chiang Dao Customs House","50","--3-----","AA","1601",,"1923N 09858E",
,"TH","CHK","Chiang Khong Customs House","Chiang Khong Customs House","57","--3-----","AA","1601",,"2016N 10022E",
,"TH","CHM","Chong Mek Customs House","Chong Mek Customs House","34","--3-----","AA","1807",,"1508N 10528E",
,"TH","CHN","Chai Nat","Chai Nat","35","--3-----","RQ","0901",,"1510N 10007E",
,"TH","CHO","Chonburi","Chonburi",,"-----6--","RQ","1807",,"1322N 10059E",
,"TH","CHS","Chiang Saen Customs House","Chiang Saen Customs House","57","1-3-----","AA","1601",,"2019N 10004E",
,"TH","CHU","Chumphon","Chumphon","86","1-3-----","AA","2107",,"1026N 09916E",
,"TH","CJM","Chumphon Apt","Chumphon Apt","86","---4----","AA","1601",,"1043N 09922E",
,"TH","CKH","Chiang Khan Customs House","Chiang Khan Customs House","42","--3-----","AA","1601",,"1754N 10140E",
,"TH","CNX","Chiang Mai International Apt","Chiang Mai International Apt","50","---4----","AA","1601",,"1846N 09858E",
,"TH","CSD","Chachoengsao","Chachoengsao","24","--3-----","RL","1101",,"1342N 10105E",
,"TH","CYM","Chaiyaphum","Chaiyaphum","22","--3-----","RQ","0901",,"1547N 10202E",
,"TH","DMK","Don Mueang International Apt","Don Mueang International Apt","10","---4----","AA","1601",,"1355N 10036E",
,"TH","ECT","Ekachai Container Terminal","Ekachai Container Terminal","74","1-------","AA","1607",,"1335N 10019E",
,"TH","ERA","Erawan","Erawan",,"1-------","RQ","0907",,"0904N 10124E",
,"TH","HDY","Hat Yai International Apt","Hat Yai International Apt","90","---4----","AA","1801",,"0656N 10024E",
,"TH","HGN","Mae Hong Son Apt","Mae Hong Son Apt","58","---4----","AA","1601",,"1918N 09759E",
,"TH","HHQ","Hua Hin Apt","Hua Hin Apt","77","---4----","AA","1601",,"1238N 09957E",
,"TH","HKT","Phuket International Apt","Phuket International Apt","83","---4----","AA","1807",,"0807N 09819E",
,"TH","HOP","Hoping","Hoping",,"1-------","RQ","0401",,"2416N 12144E",
,"TH","I6C","T S Transport and Logistics","T S Transport and Logistics","11","1-------","AA","1607",,"1339N 10034E",
,"TH","KAB","Kabin Buri","Kabin Buri","25","--3-----","RL","1301",,"1359N 10143E",
,"TH","KAM","Kamuting","Kamuting","10","--3-----","RQ","0901",,,
,"TH","KAN","Kantang","Kantang","92","123-----","AA","1801",,"0724N 09931E",
,"TH","KBV","Krabi Apt","Krabi Apt","81","---4----","AA","1807",,"0806N 09859E",
,"TH","KCB","Kanchanaburi","Kanchanaburi","71","--3-----","AA","1801",,"1401N 09931E",
,"TH","KHA","Khanom","Khanom","80","1-------","AA","1801",,"0912N 09953E",
,"TH","KHB","Khon Buri","Khon Buri","30","--3-----","RQ","1007",,"1431N 10215E",
,"TH","KHL","Khlong Luang Truck Terminal","Khlong Luang Truck Terminal","13","--3-----","AA","1807",,"1405N 10042E",
,"TH","KKC","Khon Kaen","Khon Kaen","40","-234-6--","AI","1001",,"1626N 10250E",
,"TH","KKM","Khok Kathiam Apt","Khok Kathiam Apt","16","---4----","AA","1601",,"1452N 10040E",
,"TH","KLA","Ko Lanta","Ko Lanta","81","1-------","AA","2107",,"0803N 09854E",
,"TH","KLN","Kalasin","Kalasin","46","--3-----","RQ","2107",,"1625N 10330E",
,"TH","KLY","Khlong Yai","Khlong Yai","23","1-3-----","AA","1801",,"1146N 10254E",
,"TH","KMR","Khemarat Customs House","Khemarat Customs House","34","--3-----","AA","1601",,"1602N 10512E",
,"TH","KOP","Nakhon Phanom Apt","Nakhon Phanom Apt","48","---4----","AA","1601",,"1723N 10439E",
,"TH","KPS","Kamphaeng Saen","Kamphaeng Saen","73","--3-----","RQ","0901",,"1400N 10000E",
,"TH","KPT","Kamphaeng Phet","Kamphaeng Phet",,"1-3-----","RL","0607",,"1628N 09931E",
,"TH","KRN","Krathum Baen","Krathum Baen","74","--3-----","RL","0307",,"1339N 10016E",
,"TH","KRU","Phra Khanong","Phra Khanong","10","1-3-----","RL","1401",,"1342N 10036E",
,"TH","KRV","Krabi","Krabi","81","1-------","AA","1807",,"0804N 09844E",
,"TH","KSI","Ko Sichang","Ko Sichang","20","1-------","AA","2107",,"1308N 10049E",
,"TH","KSM","Ko Samui","Ko Samui","84","1-------","AA","1601",,"0932N 09956E",
,"TH","KYO","Ko Yao","Ko Yao","82","1-------","AA","2107",,"0754N 09836E",
,"TH","LAS","Lang Suan","Lang Suan","86","1-------","AA","2107",,"0957N 09909E",
,"TH","LCH","Laem Chabang","Laem Chabang","20","1-3-----","RL","0401",,"1305N 10053E",
,"TH","LKR","Lat Krabang","Lat Krabang","10","-23--6--","AA","1801",,"1345N 10046E",
,"TH","LOE","Loei Apt","Loei Apt","42","---4----","AA","1601",,"1726N 10143E",
,"TH","LPN","Lamphun","Lamphun","51","--3-----","RL","0901",,"1835N 09901E",
,"TH","LPT","Lampang Apt","Lampang Apt","52","---4----","AA","1601",,"1816N 09930E",
,"TH","MAQ","Mae Sot Apt","Mae Sot Apt","63","---4----","AA","1601",,"1642N 09833E",
,"TH","MAS","Mae Sariang Customs House","Mae Sariang Customs House","58","--3-----","AA","1601",,"1810N 09757E",
,"TH","MAT","Map Ta Phut","Map Ta Phut","21","1-3-----","AA","2107",,"1239N 10118E",
,"TH","MDH","Mukdahan Customs House","Mukdahan Customs House","49","--3-----","AA","1601",,"1636N 10444E",
,"TH","MDN","Mukdahan","Mukdahan","21","--3-----","RQ","0901",,"1632N 10443E",
,"TH","MEK","Mae Klong","Mae Klong","75","1-------","AA","2107",,"1322N 09959E",
,"TH","MIN","Min Buri","Min Buri","10","--3-----","RL","0901",,"1349N 10044E",
,"TH","MSA","Mae Sai Customs House","Mae Sai Customs House","57","--3-----","AA","1807",,"2027N 09953E",
,"TH","MSM","Maha Sarakham","Maha Sarakham","22","--3-----","RL","0901",,"1611N 10318E",
,"TH","MST","Mae Sot Customs House","Mae Sot Customs House","63","--3-----","AA","1807",,"1642N 09831E",
,"TH","NAK","Nakhon Ratchasima Apt","Nakhon Ratchasima Apt","30","---4----","AA","1601",,"1457N 10219E",
,"TH","NAW","Narathiwat Apt","Narathiwat Apt","96","---4----","AA","1601",,"0631N 10145E",
,"TH","NBO","Nong Bua Lamphu","Nong Bua Lamphu",,"--3-----","RL","0307",,"1710N 10234E",
,"TH","NGK","Nong Khae","Nong Khae","19","--3-----","RL","1301",,"1420N 10052E",
,"TH","NHP","NH Prosperity","NH Prosperity","10","1-------","AA","1807",,"1311N 10048E",
,"TH","NIM","Nim Port","Nim Port","11","1-------","AA","2107",,"1336N 10034E",
,"TH","NKT","Nakhon Si Thammarat","Nakhon Si Thammarat","80","1-------","AA","1801",,"0914N 09952E",
,"TH","NNK","Nakhon Nayok","Nakhon Nayok","26","--3-----","RQ","2107",,"1412N 10112E",
,"TH","NNT","Nan Nakhon Apt","Nan Nakhon Apt","55","---4----","AA","1601",,"1848N 10047E",
,"TH","NOK","Nong Khai Customs House","Nong Khai Customs House","43","--3-----","AA","1801",,"1751N 10244E",
,"TH","NON","Nong Khaem","Nong Khaem",,"--3-----","RL","0307",,"1341N 10021E",
,"TH","NPM","Nakhon Pathom","Nakhon Pathom",,"--3-----","RL","0201",,"1349N 10003E",
,"TH","NRW","Narathiwat","Narathiwat","96","1-------","AA","1601",,"0625N 10149E",
,"TH","NSA","Nakhon Sawan","Nakhon Sawan","60","-23-----","RL","0307",,"1541N 10007E",
,"TH","NSH","Nakhon Si Thammarat Customs House","Nakhon Si Thammarat Customs House","80","--3-----","AA","1801",,"0832N 09957E",
,"TH","NST","Nakhon Si Thammarat Apt","Nakhon Si Thammarat Apt","80","---4----","AA","1801",,"0832N 09957E",
,"TH","NTB","Nonthaburi","Nonthaburi","12","-23-----","RL","0501",,"1350N 10029E",
,"TH","PAI","Pai","Pai","58","--3-----","RQ","0901",,"1919N 09827E",
,"TH","PAN","Pattani Apt","Pattani Apt","94","---4----","AA","1601",,"0647N 10109E",
,"TH","PAT","Pat Bangkok","Pat Bangkok",,"--3-----","RL","0201",,"1342N 10034E",
,"TH","PBM","Phibun Mangsahan","Phibun Mangsahan","34","--3-----","AA","1801",,"1515N 10514E",
